Sep 12 13:00:25 sui-mainnet-node cargo[3499927]: 2024-09-12T11:00:25.456275Z  INFO sui_indexer::handlers::checkpoint_handler: checkpoint download lag for cp 95147: 44635877902 ms
Sep 12 13:00:25 sui-mainnet-node cargo[3499927]: 2024-09-12T11:00:25.456275Z  INFO sui_data_ingestion_core::worker_pool: received checkpoint for processing 95148 for workflow primary
Sep 12 13:00:25 sui-mainnet-node cargo[3499927]: 2024-09-12T11:00:25.456276Z  INFO sui_indexer::handlers::checkpoint_handler: Indexer lag: downloaded checkpoint 95147 with time now 1726138825456 and checkpoint time 1681502947554
Sep 12 13:00:25 sui-mainnet-node cargo[3499927]: 2024-09-12T11:00:25.456277Z  INFO sui_indexer::handlers::checkpoint_handler: checkpoint download lag for cp 95146: 44635878913 ms
Sep 12 13:00:25 sui-mainnet-node cargo[3499927]: 2024-09-12T11:00:25.456274Z  INFO sui_types::nats_queue: Received checkpoint with seq number 95136 but expected 85168
Sep 12 13:00:25 sui-mainnet-node cargo[3499927]: 2024-09-12T11:00:25.456277Z  INFO sui_indexer::handlers::checkpoint_handler: Resolving Move struct layouts for struct tags of size 1.
Sep 12 13:00:25 sui-mainnet-node cargo[3499927]: 2024-09-12T11:00:25.456277Z  INFO sui_indexer::handlers::checkpoint_handler: checkpoint download lag for cp 95149: 44635875941 ms
Sep 12 13:00:25 sui-mainnet-node cargo[3499927]: 2024-09-12T11:00:25.456278Z  INFO sui_indexer::handlers::checkpoint_handler: Indexer lag: downloaded checkpoint 95146 with time now 1726138825456 and checkpoint time 1681502946543
Sep 12 13:00:25 sui-mainnet-node cargo[3499927]: 2024-09-12T11:00:25.456279Z  INFO sui_indexer::handlers::checkpoint_handler: Indexing checkpoint data blob checkpoint_seq=95145
Sep 12 13:00:25 sui-mainnet-node cargo[3499927]: 2024-09-12T11:00:25.456280Z  INFO sui_indexer::handlers::checkpoint_handler: Indexer lag: downloaded checkpoint 95149 with time now 1726138825456 and checkpoint time 1681502949515
Sep 12 13:00:25 sui-mainnet-node cargo[3499927]: 2024-09-12T11:00:25.456280Z  INFO sui_types::nats_queue: Received checkpoint with seq number 95139 but expected 85168
Sep 12 13:00:25 sui-mainnet-node cargo[3499927]: 2024-09-12T11:00:25.456280Z  INFO sui_indexer::handlers::checkpoint_handler: Indexing checkpoint data blob checkpoint_seq=95147
Sep 12 13:00:25 sui-mainnet-node cargo[3499927]: 2024-09-12T11:00:25.456281Z  INFO sui_data_ingestion_core::worker_pool: received checkpoint for processing 95143 for workflow primary
Sep 12 13:00:25 sui-mainnet-node cargo[3499927]: 2024-09-12T11:00:25.456281Z  INFO sui_indexer::handlers::checkpoint_handler: checkpoint download lag for cp 95148: 44635876902 ms
Sep 12 13:00:25 sui-mainnet-node cargo[3499927]: 2024-09-12T11:00:25.456282Z  INFO sui_types::nats_queue: Received checkpoint with seq number 95135 but expected 85168
Sep 12 13:00:25 sui-mainnet-node cargo[3499927]: 2024-09-12T11:00:25.456283Z  INFO sui_indexer::handlers::checkpoint_handler: Indexer lag: downloaded checkpoint 95148 with time now 1726138825456 and checkpoint time 1681502948554
